slug,name,description,email_count,url
jeffrey-epstein,Jeffrey Epstein,Epstein alias accounts ([email protected]),1069343,https://jmail.world/person/jeffrey-epstein
lesley-groff,Lesley Groff,"Personal assistant, NY office",230115,https://jmail.world/person/lesley-groff
rich-kahn,Rich Kahn,NY office staff,92049,https://jmail.world/person/rich-kahn
karyna-shuliak,Karyna Shuliak,Epstein's girlfriend until death,48933,https://jmail.world/person/karyna-shuliak
larry-visosky,Larry Visoski,Epstein's chief pilot,38726,https://jmail.world/person/larry-visosky
bella-klein-yale,Bella Klein,"Admin, Indyke's office",28113,https://jmail.world/person/bella-klein-yale
ann-rodriguez,Ann Rodriguez,"Household manager, Palm Beach",28068,https://jmail.world/person/ann-rodriguez
boris-nikolic,Boris Nikolic,"Gates advisor, will executor",21736,https://jmail.world/person/boris-nikolic
natalia-molotkova--3,Natalia Molotkova,"Travel agent, Centurion",20559,https://jmail.world/person/natalia-molotkova--3
stewart-oldfield-,Stewart Oldfield,Deutsche Bank banker,17320,https://jmail.world/person/stewart-oldfield-
paul-morris-gmail,Paul Morris,Deutsche Bank banker,15246,https://jmail.world/person/paul-morris-gmail
darren-indyke,Darren Indyke,"Attorney, estate executor",14742,https://jmail.world/person/darren-indyke
daphne-wallace-gmail,Daphne Wallace,Personal assistant,14718,https://jmail.world/person/daphne-wallace-gmail
brice-gordon,Brice Gordon,"Property manager, Zorro Ranch",14644,https://jmail.world/person/brice-gordon
ghislaine-maxwell,Ghislaine Maxwell,Epstein's primary accomplice,13428,https://jmail.world/person/ghislaine-maxwell
jojo-fontanilla,Jojo Fontanilla,Household staff,13294,https://jmail.world/person/jojo-fontanilla
melanie-spinella-,Melanie Spinella,"Admin, Apollo Management",12701,https://jmail.world/person/melanie-spinella-
merwin-dela-cruz-example,Merwin dela cruz,Household staff,11790,https://jmail.world/person/merwin-dela-cruz-example
google-calendar-recovered,Google Calendar,Calendar notification service,11230,https://jmail.world/person/google-calendar-recovered
joi-ito,Joi Ito,Former MIT Media Lab director,10338,https://jmail.world/person/joi-ito
cecile-de-jongh--2,Cecile de Jongh,"USVI fixer, former first lady",9992,https://jmail.world/person/cecile-de-jongh--2
vahe-stepanian-db-2,Vahe Stepanian,Deutsche Bank banker,9796,https://jmail.world/person/vahe-stepanian-db-2
david-mitchell,David Mitchell,Mitchell Holdings,9407,https://jmail.world/person/david-mitchell
farkas-andrew-l-,"Farkas, Andrew L.","Real estate investor, Island Capital",8942,https://jmail.world/person/farkas-andrew-l-
sarah-kellen,Sarah Kellen,Epstein's personal scheduler,8741,https://jmail.world/person/sarah-kellen
gary-kerney-verizon,Gary Kerney,IT consultant,8717,https://jmail.world/person/gary-kerney-verizon
peggy-siegal,Peggy Siegal,Entertainment publicist,8636,https://jmail.world/person/peggy-siegal
david-stern-,David Stern,Asia Gateway,8145,https://jmail.world/person/david-stern-
nicole-junkermann,Nicole Junkermann,"Investor, NJF Holdings",7984,https://jmail.world/person/nicole-junkermann
lawrence-krauss,Lawrence Krauss,"Physicist, cosmologist",7966,https://jmail.world/person/lawrence-krauss
eric-roth-intljet,Eric Roth,"Pilot, International Jet",7718,https://jmail.world/person/eric-roth-intljet
martin-a-nowak,Martin A. Nowak,"Harvard biology professor, PED director",7378,https://jmail.world/person/martin-a-nowak
richard-joslin,Richard Joslin,Elysium LLC staff,7169,https://jmail.world/person/richard-joslin
kathy-ruemmler-egroupware,Kathy Ruemmler,Former White House Counsel,7092,https://jmail.world/person/kathy-ruemmler-egroupware
eva-dubin-dubinandco,Eva Dubin,"Physician, Epstein's ex, wife of Glenn Dubin",7050,https://jmail.world/person/eva-dubin-dubinandco
noam-chomsky,Noam Chomsky,"Linguist, MIT professor emeritus",7013,https://jmail.world/person/noam-chomsky
faith-kates-extmodels,Faith Kates,"Modeling agent, Next Models",6945,https://jmail.world/person/faith-kates-extmodels
a-de-rothschild,A. de Rothschild,Rothschild banking family,6740,https://jmail.world/person/a-de-rothschild
eileen-alexanderson-apollo-adv=sors,Eileen Alexanderson,"Admin, Apollo/Elysium",6446,https://jmail.world/person/eileen-alexanderson-apollo-adv=sors
amanda-kirby,Amanda Kirby,Personal contact,6349,https://jmail.world/person/amanda-kirby
brad-wechsler-wechsler,Brad Wechsler,"Former IMAX chairman, Elysium",6300,https://jmail.world/person/brad-wechsler-wechsler
deepak-chopra,Deepak Chopra,"Author, alt medicine",6273,https://jmail.world/person/deepak-chopra
petermandelson,Peter Mandelson,"British politician, former EU Commissioner",6270,https://jmail.world/person/petermandelson
sultan-bin-sulayem,Sultan Bin Sulayem,"Dubai businessman, DP World",6194,https://jmail.world/person/sultan-bin-sulayem
stephen-hanson--3,Steve Hanson,"NYC restaurateur, BR Guest Hospitality",6115,https://jmail.world/person/stephen-hanson--3
jean-luc-brunel,Jean-Luc Brunel,French model scout,6062,https://jmail.world/person/jean-luc-brunel
jes-staley-jpmorgan,Jes Staley,Former JPMorgan/Barclays CEO,6021,https://jmail.world/person/jes-staley-jpmorgan
tazia-smith,Tazia Smith,Deutsche Bank staff,6019,https://jmail.world/person/tazia-smith
paul-barrett-example,Paul Barrett,JP Morgan banker,5990,https://jmail.world/person/paul-barrett-example
michael-wolff,Michael Wolff,"Author, ""Fire and Fury""",5856,https://jmail.world/person/michael-wolff
jermaine-ruan-ruan-2,Jermaine Ruan,Staff member,5344,https://jmail.world/person/jermaine-ruan-ruan-2
ehud-barak,Ehud Barak,Former Israeli Prime Minister,5182,https://jmail.world/person/ehud-barak
richard-barnett-,Richard Barnett,HVAC contractor,4990,https://jmail.world/person/richard-barnett-
bradley-gillin,Bradley Gillin,Deutsche Bank staff,4907,https://jmail.world/person/bradley-gillin
daniel-sabba-example-2,Daniel Sabba,Deutsche Bank banker,4869,https://jmail.world/person/daniel-sabba-example-2
emad-hanna,Emad Hanna,NY office staff,4861,https://jmail.world/person/emad-hanna
janusz-banasiak-pyscmail,Janusz Banasiak,Estate manager,4691,https://jmail.world/person/janusz-banasiak-pyscmail
story-cowles-yahoo,Story Cowles,Personal assistant,4629,https://jmail.world/person/story-cowles-yahoo
lsj-gsj,Little St. James / Great St. James,USVI private islands,4587,https://jmail.world/person/lsj-gsj
valeria-chomsky-gmail-3,Valeria Chomsky,Wife of Noam Chomsky,4572,https://jmail.world/person/valeria-chomsky-gmail-3
ion-nicola,Ion Nicola,Palm Beach property manager,4462,https://jmail.world/person/ion-nicola
jabor-y-mail,Jabor Y,Qatar business contact,4431,https://jmail.world/person/jabor-y-mail
bebe-avdiu,Bebe Avdiu,Indyke's assistant,4420,https://jmail.world/person/bebe-avdiu
alireza-ittihadieh,Alireza Ittihadieh,"Private jet broker, Freestream",4406,https://jmail.world/person/alireza-ittihadieh
caroline-lang,Caroline Lang,French personal contact,4361,https://jmail.world/person/caroline-lang
soon-yi-previn-hotmail,Soon Yi Previn,Wife of Woody Allen,4289,https://jmail.world/person/soon-yi-previn-hotmail
barnaby-marsh,Barnaby Marsh,Philanthropy advisor,4183,https://jmail.world/person/barnaby-marsh
kosslyn-stephen,Kosslyn Stephen,"Cognitive psychologist, Minerva Schools dean",3955,https://jmail.world/person/kosslyn-stephen
jennie-saunders-gmail,Jennie Saunders,Personal contact,3954,https://jmail.world/person/jennie-saunders-gmail
am-rican-express-travel,American Express Travel,Travel booking service,3925,https://jmail.world/person/am-rican-express-travel
erika-kellerhals-example,Erika Kellerhals,Swiss business contact,3882,https://jmail.world/person/erika-kellerhals-example
ian-osborne,Ian Osborne,"Political consultant, tech investor",3854,https://jmail.world/person/ian-osborne
elen-capri-example,Elen Capri,Personal contact,3805,https://jmail.world/person/elen-capri-example
