term,frequency,document_frequency,document_frequency_pct
new,195098,139188,12.637
travel,128286,20494,1.861
york,113811,88055,7.994
new york,112204,86976,7.896
information,87405,44915,4.078
work,73920,59610,5.412
american,73320,14941,1.356
office,69687,52206,4.74
number,67228,41931,3.807
express,64753,11460,1.04
suppliers,64633,6272,0.569
american express,60988,9261,0.841
flight,60749,34571,3.139
send,60557,53482,4.856
i'm,58737,48297,4.385
date,55593,37812,3.433
bank,54872,29444,2.673
great,53700,48625,4.415
paris,53342,39167,3.556
service,51874,19611,1.78
sure,50488,46658,4.236
meet,50353,45202,4.104
details,48822,33375,3.03
hope,48442,45174,4.101
services,48325,16707,1.517
phone,47141,40840,3.708
account,47018,31934,2.899
meeting,46387,37849,3.436
contact,46290,36737,3.335
don't,45924,38641,3.508
avenue,45005,44015,3.996
change,44671,37522,3.407
trip,44575,27154,2.465
redacted,44425,20420,1.854
check,44395,35461,3.219
friday,43079,36376,3.303
help,42727,36626,3.325
floor,42570,39784,3.612
address,42022,33549,3.046
monday,41935,36393,3.304
receive,41216,18763,1.703
house,41016,32088,2.913
including,40993,18691,1.697
company,40237,29195,2.651
use,39839,33177,3.012
llc,39689,20405,1.853
available,39489,34350,3.119
itinerary,39380,14493,1.316
does,38813,32804,2.978
hotel,37790,19103,1.734
cell,37324,32915,2.988
year,36737,24283,2.205
ask,36348,32478,2.949
ticket,34655,21097,1.915
trust,34474,20797,1.888
deutsche,34305,18073,1.641
home,34010,27306,2.479
provide,32997,23372,2.122
larry,32974,28527,2.59
case,32798,21174,1.922
schedule,32795,28118,2.553
review,32658,23507,2.134
fax,32549,30790,2.795
airline,32252,9732,0.884
told,32239,26402,2.397
order,32185,21398,1.943
days,32059,25722,2.335
free,32058,27780,2.522
business,32055,23475,2.131
pay,31716,21515,1.953
stay,31314,27341,2.482
assistant,31299,29452,2.674
street,30627,26952,2.447
dinner,30327,24025,2.181
questions,30285,27210,2.47
money,30048,20365,1.849
soon,29999,27991,2.541
forward,29842,27403,2.488
asked,29812,25696,2.333
dear,29683,28722,2.608
tel,29570,28166,2.557
island,29193,24648,2.238
set,29168,25297,2.297
amex,29074,9887,0.898
floor new,29018,28838,2.618
confirm,28883,26460,2.402
image,28694,15811,1.435
arrangements,28593,9696,0.88
talk,28070,25702,2.333
regarding,27824,21047,1.911
visit,27685,21677,1.968
deutsche bank,27653,16427,1.491
i'll,27591,25152,2.284
rich,27580,22294,2.024
needs,27552,24995,2.269
happy,27495,25024,2.272
associates,27413,26839,2.437
centurion,27327,12114,1.1
state,27296,15420,1.4
really,27238,23194,2.106
years,27163,17843,1.62
class,26824,13203,1.199
received,26771,23101,2.097
says,26688,21581,1.959
financial,26650,18166,1.649
try,26382,24671,2.24
working,26357,23271,2.113
wanted,26310,24087,2.187
link,26234,14668,1.332
management,26052,22456,2.039
thursday,26050,22583,2.05
party,26022,16210,1.472
able,25834,23639,2.146
return,25634,20795,1.888
coming,25559,23919,2.172
possible,25444,23386,2.123
list,25402,20227,1.836
avenue floor,25328,25191,2.287
lsj,25008,17648,1.602
marketing,25003,7625,0.692
leave,24972,22219,2.017
stop,24967,19830,1.8
confidential,24948,15800,1.434
advise,24914,24138,2.191
statement,24836,13583,1.233
website,24815,15047,1.366
leon,24814,17096,1.552
sunday,24814,21412,1.944
wed,24775,19867,1.804
long,24726,20489,1.86
better,24675,21651,1.966
room,24571,17527,1.591
airport,24373,16062,1.458
speak,24347,22503,2.043
card,24328,16819,1.527
following,24204,21039,1.91
beach,24194,18219,1.654
request,24152,19380,1.759
june,23995,16556,1.503
tax,23585,13171,1.196
end,23566,20358,1.848
itineraries,23388,6040,0.548
asking,23263,22073,2.004
travel suppliers,23239,6100,0.554
terminal,23234,5165,0.469
david,23192,17404,1.58
confirmed,23140,17007,1.544
palm,23017,17564,1.595
say,22994,19025,1.727
director,22900,18181,1.651
air,22860,14152,1.285
understand,22669,20879,1.896
certain,22583,10195,0.926
arrive,22524,17307,1.571
update,22499,19718,1.79
access,22472,14033,1.274
july,22464,14793,1.343
karyna,22450,18716,1.699
east,22305,19540,1.774
april,22163,15056,1.367
love,22108,19062,1.731
event,22020,16078,1.46
park,21867,20483,1.86
total,21796,15377,1.396
price,21723,15293,1.388
non,21430,14723,1.337
mon,21412,17449,1.584
appt,21307,10396,0.944
black,21305,15669,1.423
international,21273,12668,1.15
paul,21142,15722,1.427
client,21021,14428,1.31
darren,21015,14949,1.357
plan,20872,16880,1.533
hours,20783,16193,1.47
afternoon,20749,19464,1.767
lunch,20747,16866,1.531
tickets,20610,16696,1.516
notification,20491,17651,1.603
related,20479,12711,1.154
thx,20452,19810,1.799
march,20384,14273,1.296
tonight,20324,18109,1.644
president,20299,14050,1.276
tuesday,20229,17717,1.609
lexington,20155,19912,1.808
thought,19989,18433,1.674
later,19968,18290,1.661
called,19852,17814,1.617
looking,19840,18474,1.677
key,19775,15581,1.415
left,19657,17173,1.559
place,19630,17023,1.546
changes,19557,13663,1.24
record,19544,12205,1.108
private,19418,15805,1.435
limited,19287,12481,1.133
products,19126,10523,0.955
weekend,19104,17687,1.606
doing,19074,17090,1.552
alert,19012,16746,1.52
charges,18997,10232,0.929
southern,18995,11576,1.051
compensation,18976,7039,0.639
jan,18965,11894,1.08
sec,18938,3284,0.298
friend,18929,16800,1.525
school,18908,14676,1.332
google,18900,16123,1.464
nyc,18707,16047,1.457
acts,18663,6745,0.612
travel service,18623,7093,0.644
wants,18507,16857,1.53
arrival,18467,13871,1.259
centurion travel,18441,7010,0.636
consider,18441,12104,1.099
lexington avenue,18394,18340,1.665
public,18341,13021,1.182
suite,18318,16855,1.53
times,18215,13046,1.184
incentives,18166,6241,0.567
little,18154,15860,1.44
untitled,18134,2867,0.26
follow,18073,16579,1.505
registration,18018,7771,0.706
efta,17934,15304,1.389
group,17925,13848,1.257
john,17901,13130,1.192
can't,17817,16167,1.468
confirmation,17779,12855,1.167
oct,17705,11257,1.022
early,17652,15687,1.424
kind,17652,16748,1.521
