term,summed_tfidf,document_frequency,document_frequency_pct
new,11308.049,139188,12.637
york,8115.4355,88055,7.994
new york,8028.764,86976,7.896
send,6387.6777,53482,4.856
work,6327.6914,59610,5.412
paris,6223.195,39167,3.556
great,6199.6963,48625,4.415
i'm,5891.7544,48297,4.385
office,5732.111,52206,4.74
sure,5418.4424,46658,4.236
hope,5026.382,45174,4.101
meet,5007.9873,45202,4.104
meeting,5002.887,37849,3.436
phone,4879.492,40840,3.708
number,4467.0938,41931,3.807
house,4435.6772,32088,2.913
monday,4423.7295,36393,3.304
friday,4288.2676,36376,3.303
floor,4269.3623,39784,3.612
avenue,4259.315,44015,3.996
don't,4244.0586,38641,3.508
cell,4232.157,32915,2.988
ask,4204.097,32478,2.949
flight,4199.832,34571,3.139
schedule,3902.1099,28118,2.553
help,3877.8223,36626,3.325
travel,3819.6814,20494,1.861
check,3808.996,35461,3.219
available,3786.7998,34350,3.119
talk,3761.4531,25702,2.333
larry,3726.7234,28527,2.59
dinner,3710.539,24025,2.181
home,3700.1067,27306,2.479
redacted,3663.6824,20420,1.854
associates,3649.4048,26839,2.437
i'll,3621.259,25152,2.284
does,3566.6328,32804,2.978
speak,3536.9229,22503,2.043
bank,3485.809,29444,2.673
try,3471.721,24671,2.24
date,3461.139,37812,3.433
soon,3433.4126,27991,2.541
floor new,3393.5156,28838,2.618
information,3354.8745,44915,4.078
coming,3328.453,23919,2.172
leave,3311.5005,22219,2.017
happy,3296.081,25024,2.272
confirm,3270.374,26460,2.402
ticket,3227.1748,21097,1.915
told,3205.6213,26402,2.397
assistant,3195.0007,29452,2.674
avenue floor,3166.152,25191,2.287
island,3151.6719,24648,2.238
account,3109.8726,31934,2.899
tonight,3104.7175,18109,1.644
sunday,3100.6062,21412,1.944
address,3092.7817,33549,3.046
leon,3092.0022,17096,1.552
fax,3071.664,30790,2.795
wed,3067.0544,19867,1.804
thx,3063.6365,19810,1.799
change,3050.5488,37522,3.407
asking,3049.6482,22073,2.004
rich,3044.0503,22294,2.024
thursday,2966.154,22583,2.05
set,2930.3013,25297,2.297
free,2927.3643,27780,2.522
asked,2925.8464,25696,2.333
trip,2919.3904,27154,2.465
days,2915.0618,25722,2.335
stay,2909.8748,27341,2.482
advise,2874.5618,24138,2.191
tel,2874.129,28166,2.557
details,2873.5608,33375,3.03
lexington,2872.83,19912,1.808
says,2864.2346,21581,1.959
contact,2858.174,36737,3.335
forward,2847.49,27403,2.488
street,2844.278,26952,2.447
lunch,2837.4395,16866,1.531
lexington avenue,2740.8745,18340,1.665
better,2735.795,21651,1.966
really,2726.999,23194,2.106
david,2721.5981,17404,1.58
wanted,2718.2747,24087,2.187
karyna,2703.318,18716,1.699
afternoon,2666.2073,19464,1.767
love,2644.4607,19062,1.731
dear,2630.8003,28722,2.608
weekend,2630.4512,17687,1.606
possible,2588.7654,23386,2.123
mon,2582.9675,17449,1.584
alert,2581.3872,16746,1.52
associates lexington,2571.4731,16064,1.458
use,2568.7073,33177,3.012
nyc,2563.4856,16047,1.457
lsj,2559.7668,17648,1.602
working,2557.9792,23271,2.113
year,2541.4517,24283,2.205
visit,2531.967,21677,1.968
order,2495.4814,21398,1.943
able,2488.5317,23639,2.146
return,2478.5674,20795,1.888
llc,2468.28,20405,1.853
east,2448.6074,19540,1.774
later,2439.1194,18290,1.661
confidential,2437.5823,15800,1.434
apt,2433.0925,13115,1.191
update,2413.3032,19718,1.79
palm,2412.8838,17564,1.595
received,2402.9104,23101,2.097
arrive,2397.653,17307,1.571
june,2386.7422,16556,1.503
deutsche,2385.7925,18073,1.641
friend,2384.329,16800,1.525
list,2383.9648,20227,1.836
money,2356.321,20365,1.849
say,2349.7048,19025,1.727
beach,2341.0295,18219,1.654
darren,2317.6255,14949,1.357
called,2316.7065,17814,1.617
pick,2313.3796,14838,1.347
case,2303.8208,21174,1.922
wants,2286.3462,16857,1.53
thought,2284.1333,18433,1.674
room,2280.778,17527,1.591
lets,2273.054,12033,1.092
april,2249.92,15056,1.367
tuesday,2247.15,17717,1.609
sat,2236.505,14110,1.281
hotel,2204.124,19103,1.734
long,2202.8398,20489,1.86
appt,2187.159,10396,0.944
maybe,2184.0354,16066,1.459
nice,2184.018,14853,1.348
trust,2182.661,20797,1.888
hear,2172.892,14548,1.321
skype,2167.5269,9592,0.871
needs,2165.4421,24995,2.269
july,2161.7917,14793,1.343
looking,2160.5388,18474,1.677
paul,2158.5767,15722,1.427
doing,2151.693,17090,1.552
info,2145.9785,15876,1.441
left,2132.785,17173,1.559
end,2131.688,20358,1.848
works,2116.688,14224,1.291
late,2111.1262,14527,1.319
efta,2087.8906,15304,1.389
can't,2082.309,16167,1.468
tel fax,2076.1775,17336,1.574
airport,2062.2104,16062,1.458
fun,2059.4922,12494,1.134
march,2054.301,14273,1.296
confirmed,2053.5542,17007,1.544
yesterday,2044.8718,15955,1.449
fly,2042.2094,12938,1.175
pay,2030.6702,21515,1.953
black,2027.6984,15669,1.423
york tel,2016.7456,15656,1.421
american,1984.5104,14941,1.356
early,1977.4519,15687,1.424
