year,theme,theme_documents,year_documents,theme_share_pct
2009,Financial administration,2523,31983,7.889
2009,Legal and investigative communication,1132,31983,3.539
2009,Movement and itinerary management,2811,31983,8.789
2009,Operational coordination,5212,31983,16.296
2009,Public narrative management,1522,31983,4.759
2010,Financial administration,3646,63716,5.722
2010,Legal and investigative communication,1858,63716,2.916
2010,Movement and itinerary management,6069,63716,9.525
2010,Operational coordination,11070,63716,17.374
2010,Public narrative management,1932,63716,3.032
2011,Financial administration,5800,107801,5.38
2011,Legal and investigative communication,3034,107801,2.814
2011,Movement and itinerary management,9124,107801,8.464
2011,Operational coordination,20601,107801,19.11
2011,Public narrative management,3477,107801,3.225
2012,Financial administration,7680,122306,6.279
2012,Legal and investigative communication,2581,122306,2.11
2012,Movement and itinerary management,12679,122306,10.367
2012,Operational coordination,25443,122306,20.803
2012,Public narrative management,3247,122306,2.655
2013,Financial administration,11965,122135,9.797
2013,Legal and investigative communication,3371,122135,2.76
2013,Movement and itinerary management,12474,122135,10.213
2013,Operational coordination,27917,122135,22.857
2013,Public narrative management,3963,122135,3.245
2014,Financial administration,12081,114334,10.566
2014,Legal and investigative communication,2915,114334,2.55
2014,Movement and itinerary management,11218,114334,9.812
2014,Operational coordination,25053,114334,21.912
2014,Public narrative management,4471,114334,3.91
2015,Financial administration,10808,108277,9.982
2015,Legal and investigative communication,3368,108277,3.111
2015,Movement and itinerary management,10669,108277,9.853
2015,Operational coordination,17947,108277,16.575
2015,Public narrative management,4370,108277,4.036
2016,Financial administration,8807,106486,8.271
2016,Legal and investigative communication,2733,106486,2.567
2016,Movement and itinerary management,11217,106486,10.534
2016,Operational coordination,18613,106486,17.479
2016,Public narrative management,3874,106486,3.638
2017,Financial administration,10712,125562,8.531
2017,Legal and investigative communication,3068,125562,2.443
2017,Movement and itinerary management,13608,125562,10.838
2017,Operational coordination,20967,125562,16.699
2017,Public narrative management,4354,125562,3.468
2018,Financial administration,11260,122713,9.176
2018,Legal and investigative communication,4416,122713,3.599
2018,Movement and itinerary management,15720,122713,12.81
2018,Operational coordination,19044,122713,15.519
2018,Public narrative management,4749,122713,3.87
2019,Financial administration,4918,47302,10.397
2019,Legal and investigative communication,3134,47302,6.626
2019,Movement and itinerary management,6270,47302,13.255
2019,Operational coordination,8307,47302,17.562
2019,Public narrative management,2135,47302,4.514
